Category,Title,MediaLocation,LocalMediaLocation,IsViewed
Eso Arbi Shikhi Vol. 2,"61. Chapter 2, Lesson 8, পর্বঃ ০১",https://www.youtube.com/watch?v=hpbTBKWJP5M,,false
Eso Arbi Shikhi Vol. 2,"60. Chapter 2, Lesson 7, পর্বঃ ০১",https://www.youtube.com/watch?v=hbSDLOpwfvU,,false
Eso Arbi Shikhi Vol. 2,"62. Chapter 2, Lesson 9, পর্বঃ ০১",https://www.youtube.com/watch?v=xgW2eyRAs58,,false
Eso Arbi Shikhi Vol. 2,"63. Chapter 3, Lesson 1, পর্বঃ ০১",https://www.youtube.com/watch?v=2So9n-Lq2jI,,false
Eso Arbi Shikhi Vol. 2,"64. Chapter 3, Lesson 2, পর্বঃ ০১",https://www.youtube.com/watch?v=WzRFdtc8iU8,,false
Eso Arbi Shikhi Vol. 2,"65. Chapter 3, Lesson 3, পর্বঃ ০১",https://www.youtube.com/watch?v=HykpDazS3b0,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 1",https://www.youtube.com/watch?v=vGLpsl0MWNk,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 2",https://www.youtube.com/watch?v=W08lqxvJ5tI,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 3 ১ম পর্ব",https://www.youtube.com/watch?v=XjPqNaS_l-k,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 3 ২য় পর্ব",https://www.youtube.com/watch?v=yEm5zCkgGwc,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 4",https://www.youtube.com/watch?v=7yBe36sOdp8,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 5 ১ম পর্ব",https://www.youtube.com/watch?v=DiKWtOw34qI,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 5 ২য় পর্ব",https://www.youtube.com/watch?v=Ld3JBvT9Ipw,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 6",https://www.youtube.com/watch?v=AZkSoP5XRio,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 7",https://www.youtube.com/watch?v=zG6UcJ7VJdU,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 8",https://www.youtube.com/watch?v=WF8ir6_ToG8,,false
Eso Arbi Shikhi Vol. 3,"Chapter 1, Lesson 9",https://www.youtube.com/watch?v=TmO45TJv0bA,,false
Eso Arbi Shikhi Vol. 3,"Chapter 2, Lesson 1",https://www.youtube.com/watch?v=Wm8W0lxfNt0,,false
Eso Arbi Shikhi Vol. 3,"Chapter 2, Lesson 2",https://www.youtube.com/watch?v=kHE2l54YYjg,,false
Eso Arbi Shikhi Vol. 3,"Chapter 2, Lesson 3",https://www.youtube.com/watch?v=HTVYWzaQ73s,,false
Eso Arbi Shikhi Vol. 3,"Chapter 2, Lesson 4",https://www.youtube.com/watch?v=KF0-lQp9Gk8,,false
Eso Arbi Shikhi Vol. 3,"Chapter 2, Lesson 5",https://www.youtube.com/watch?v=t4RZmq3VzmA,,false
Eso Arbi Shikhi Vol. 3,"Chapter 2, Lesson 6",https://www.youtube.com/watch?v=pzZeb2FNZsY,,false
